CVE_ESCUELA_ATENCION,NOM_ESCUELA_ATENCION,REF_TURNO_ATENCION,REF_CICLO_ESCOLAR,CLAVECCT,NOMBRE_INMUEBLE,NIVEL,alcaldia,longitud,latitud,NUM_MATRICULA_TOTAL_ESCUELA,registros_salud,prioridad_atencion,pct_incompleto,pct_no_asistio,pct_caries,casos_caries,registros_caries,pct_visual,casos_visual,registros_visual,pct_sobrepeso_obesidad,casos_sobrepeso_obesidad,registros_sobrepeso_obesidad,imc_promedio,registros_imc,pct_alertas_multiples,casos_alertas_multiples,registros_alertas_multiples,alertas_promedio,completitud,casos_completos,registros_completitud
09DPR3152N,ADOLFO CISNEROS CAMARA,MATUTINO,2024-2025 | 2025-2026,09DPR3152N,ADOLFO CISNEROS CAMARA,Primaria,IZTAPALAPA,-99.0708,19.37623889,326,238,38.0672,0.4202,0,61.3445,146,238,76.4706,182,238,52.1008,124,238,19.5523,237,70.1681,167,238,1.9034,99.5798,237,238
09DPR0056Q,JESÚS NARVAEZ GALDEANO,MATUTINO,2024-2025 | 2025-2026,09DPR0056Q,JESÚS NARVAEZ GALDEANO,Primaria,IZTAPALAPA,-99.05834167,19.32968889,594,366,38.0328,0.2732,0,61.7486,226,366,77.0492,282,366,51.0929,187,366,19.2718,354,70.765,259,366,1.9016,99.7268,365,366
09DPR3235W,PROFRA. ELISA ACUÑA Y ROSSETTI,MATUTINO,2025-2026,09DPR3236V,PROFRA. ELISA ACUÑA Y ROSSETTI,Primaria,IZTAPALAPA,-99.00428611,19.35111111,515,332,37.9518,0,0,67.1687,223,332,76.2048,253,332,46.3855,154,332,19.0244,332,67.7711,225,332,1.8976,100,332,332
09DPR2110H,LEOPOLDO KIEL,VESPERTINO,2024-2025 | 2025-2026,09DPR2109S,LEOPOLDO KIEL,Primaria,IZTAPALAPA,-99.04111111,19.39029722,230,117,37.9487,1.7094,0,64.9573,76,117,80.3419,94,117,42.735,50,117,18.9913,115,69.2308,81,117,1.8974,98.2906,115,117
09DPR5081X,MELCHOR OCAMPO,MATUTINO,2024-2025 | 2025-2026,09DPR5081X,MELCHOR OCAMPO,Primaria,IZTAPALAPA,-98.99296667,19.34795278,222,203,37.931,0.9852,0,65.0246,132,203,73.8916,150,203,49.7537,101,203,20.0439,180,72.4138,147,203,1.8966,99.0148,201,203
09DPR1552W,MÁRTIRES DE URUAPAN,MATUTINO,2024-2025 | 2025-2026,09DPR1552W,MÁRTIRES DE URUAPAN,Primaria,GUSTAVO A. MADERO,-99.17221667,19.52541389,408,414,37.9227,11.1111,0,64.0097,265,414,75.1208,311,414,39.372,163,414,18.7398,339,70.7729,293,414,1.8961,88.8889,368,414
09DPR1896Q,ENRIQUE RODRÍGUEZ CANO,MATUTINO,2024-2025 | 2025-2026,09DPR1896Q,ENRIQUE RODRÍGUEZ CANO,Primaria,LA MAGDALENA CONTRERAS,-99.24500556,19.29744167,474,399,37.8947,1.2531,0,54.6366,218,399,88.9724,355,399,44.6115,178,399,19.1452,394,70.1754,280,399,1.8947,98.7469,394,399
09DPR4157P,PROFR. EFRAIN BONILLA MANZANO,VESPERTINO,2025-2026,09DPR4157P,PROFR. EFRAIN BONILLA MANZANO,Primaria,IZTAPALAPA,-99.01038056,19.36241111,123,94,37.8723,1.0638,0,81.9149,77,94,64.8936,61,94,41.4894,39,94,19.4378,90,73.4043,69,94,1.8936,98.9362,93,94
09DPR0979S,EMPERADOR ITZCOATL,MATUTINO,2024-2025 | 2025-2026,09DPR0980H,EMPERADOR ITZCOATL,Primaria,IZTAPALAPA,-99.03611389,19.37771389,506,306,37.8431,0.9804,0,57.1895,175,306,86.2745,264,306,44.7712,137,306,18.7257,300,72.549,222,306,1.8922,99.0196,303,306
09DPR2568D,FRAY BARTOLOMÉ DE LAS CASAS,VESPERTINO,2024-2025 | 2025-2026,09DPR2568D,FRAY BARTOLOMÉ DE LAS CASAS,Primaria,IZTAPALAPA,-99.11003333,19.37703056,150,55,37.8182,10.9091,0,74.5455,41,55,67.2727,37,55,36.3636,20,55,18.702,49,74.5455,41,55,1.8909,89.0909,49,55
